"";"cut_comuna";"comuna";"cut_region";"region";"delitos_mcs_aumento_2a";"delitos_mcs_aumento_3a";"delitos_mcs_aumento_5a";"delitos_mcs_aumento_10a"
"58";5501;"Quillota";5;"Valparaíso";1,46588868940754;1,36083333333333;0,947765525246663;0,950523864959255
"59";5502;"Calera";5;"Valparaíso";1,24501424501424;1,44701986754967;1,21896792189679;0,844444444444444
"60";5503;"Hijuelas";5;"Valparaíso";1,47567567567568;1,58720930232558;1,61538461538462;1,14225941422594
"61";5504;"La Cruz";5;"Valparaíso";1,30357142857143;1,48979591836735;1,41062801932367;1,48223350253807
"62";5506;"Nogales";5;"Valparaíso";1,29777777777778;1,25321888412017;1,06959706959707;1,01388888888889
"63";5601;"San Antonio";5;"Valparaíso";1,21555915721232;1,1182902584493;0,970245795601552;0,912038913660316
"64";5602;"Algarrobo";5;"Valparaíso";1,10817307692308;0,886538461538461;0,829136690647482;0,734076433121019
"65";5603;"Cartagena";5;"Valparaíso";1,11220196353436;1,06729475100942;1,08481532147743;1,25276461295419
"66";5604;"El Quisco";5;"Valparaíso";1,3309481216458;1,07359307359307;0,961240310077519;0,875294117647059
"67";5605;"El Tabo";5;"Valparaíso";1,29315960912052;1,27447833065811;1,45421245421245;1,21966205837174
"68";5606;"Santo Domingo";5;"Valparaíso";1,57575757575758;1,54074074074074;1,39597315436242;1,14917127071823
"69";5701;"San Felipe";5;"Valparaíso";1,28458213256484;1,32074074074074;0,90050505050505;0,695397815912636
"70";5702;"Catemu";5;"Valparaíso";1,27325581395349;1,21666666666667;1,16489361702128;0,765734265734266
"71";5703;"Llaillay";5;"Valparaíso";1,59409594095941;1,19667590027701;1,0046511627907;0,675
"72";5704;"Panquehue";5;"Valparaíso";1,14035087719298;1,28712871287129;0,970149253731343;0,902777777777778
"73";5705;"Putaendo";5;"Valparaíso";1,05485232067511;0,988142292490119;0,886524822695035;0,659630606860158
"74";5706;"Santa María";5;"Valparaíso";1,41145833333333;1,2262443438914;0,921768707482993;0,839009287925697
"75";5801;"Quilpué";5;"Valparaíso";1,62523452157598;1,42886597938144;1,16902834008097;0,917880794701987
"76";5802;"Limache";5;"Valparaíso";1,55479452054795;1,63603603603604;1,17616580310881;1,12098765432099
"77";5803;"Olmué";5;"Valparaíso";1,09442060085837;1,1038961038961;1,05371900826446;0,844370860927152
"78";5804;"Villa Alemana";5;"Valparaíso";1,29673776662484;1,2421875;0,900261324041812;0,770693512304251
