"";"comuna";"cut_comuna";"region";"cut_region";"año";"pais";"n";"residencia";"estado"
"63";"Antofagasta";2101;"Antofagasta";2;2023;"Honduras";1;"Temporal";"Otorgadas"
"64";"Antofagasta";2101;"Antofagasta";2;2023;"India";1;"Temporal";"Otorgadas"
"65";"Antofagasta";2101;"Antofagasta";2;2023;"Marruecos";1;"Temporal";"Otorgadas"
"66";"Antofagasta";2101;"Antofagasta";2;2023;"México";2;"Temporal";"Otorgadas"
"67";"Antofagasta";2101;"Antofagasta";2;2023;"Nicaragua";2;"Temporal";"Otorgadas"
"68";"Antofagasta";2101;"Antofagasta";2;2023;"Otro país";2;"Temporal";"Otorgadas"
"69";"Antofagasta";2101;"Antofagasta";2;2023;"Panamá";3;"Temporal";"Otorgadas"
"70";"Antofagasta";2101;"Antofagasta";2;2023;"Paraguay";25;"Temporal";"Otorgadas"
"71";"Antofagasta";2101;"Antofagasta";2;2023;"Perú";378;"Temporal";"Otorgadas"
"72";"Antofagasta";2101;"Antofagasta";2;2023;"República Dominicana";5;"Temporal";"Otorgadas"
"73";"Antofagasta";2101;"Antofagasta";2;2023;"Sudáfrica";2;"Temporal";"Otorgadas"
"74";"Antofagasta";2101;"Antofagasta";2;2023;"Tailandia";1;"Temporal";"Otorgadas"
"75";"Antofagasta";2101;"Antofagasta";2;2023;"Uruguay";2;"Temporal";"Otorgadas"
"76";"Antofagasta";2101;"Antofagasta";2;2023;"Venezuela";346;"Temporal";"Otorgadas"
"77";"Antuco";8302;"Biobío";8;2023;"Venezuela";2;"Temporal";"Otorgadas"
"78";"Arauco";8202;"Biobío";8;2023;"Brasil";2;"Temporal";"Otorgadas"
"79";"Arauco";8202;"Biobío";8;2023;"Colombia";5;"Temporal";"Otorgadas"
"80";"Arauco";8202;"Biobío";8;2023;"Ecuador";2;"Temporal";"Otorgadas"
"81";"Arauco";8202;"Biobío";8;2023;"Francia";4;"Temporal";"Otorgadas"
"82";"Arauco";8202;"Biobío";8;2023;"México";7;"Temporal";"Otorgadas"
"83";"Arauco";8202;"Biobío";8;2023;"Otro país";1;"Temporal";"Otorgadas"
"84";"Arauco";8202;"Biobío";8;2023;"Perú";4;"Temporal";"Otorgadas"
"85";"Arauco";8202;"Biobío";8;2023;"Venezuela";3;"Temporal";"Otorgadas"
"86";"Arica";15101;"Arica y Parinacota";15;2023;"Argentina";6;"Temporal";"Otorgadas"
"87";"Arica";15101;"Arica y Parinacota";15;2023;"Bolivia";495;"Temporal";"Otorgadas"
"88";"Arica";15101;"Arica y Parinacota";15;2023;"Brasil";10;"Temporal";"Otorgadas"
"89";"Arica";15101;"Arica y Parinacota";15;2023;"Canadá";1;"Temporal";"Otorgadas"
"90";"Arica";15101;"Arica y Parinacota";15;2023;"China";5;"Temporal";"Otorgadas"
"91";"Arica";15101;"Arica y Parinacota";15;2023;"Colombia";122;"Temporal";"Otorgadas"
"92";"Arica";15101;"Arica y Parinacota";15;2023;"Cuba";8;"Temporal";"Otorgadas"
"93";"Arica";15101;"Arica y Parinacota";15;2023;"Ecuador";45;"Temporal";"Otorgadas"
"94";"Arica";15101;"Arica y Parinacota";15;2023;"Estados Unidos";1;"Temporal";"Otorgadas"
"95";"Arica";15101;"Arica y Parinacota";15;2023;"Líbano";1;"Temporal";"Otorgadas"
"96";"Arica";15101;"Arica y Parinacota";15;2023;"México";3;"Temporal";"Otorgadas"
"97";"Arica";15101;"Arica y Parinacota";15;2023;"Nigeria";1;"Temporal";"Otorgadas"
"98";"Arica";15101;"Arica y Parinacota";15;2023;"Pakistán";1;"Temporal";"Otorgadas"
"99";"Arica";15101;"Arica y Parinacota";15;2023;"Paraguay";1;"Temporal";"Otorgadas"
"100";"Arica";15101;"Arica y Parinacota";15;2023;"Perú";564;"Temporal";"Otorgadas"
"101";"Arica";15101;"Arica y Parinacota";15;2023;"República Dominicana";20;"Temporal";"Otorgadas"
"102";"Arica";15101;"Arica y Parinacota";15;2023;"Venezuela";186;"Temporal";"Otorgadas"
"103";"Aisén";11201;"Aysén del General Carlos Ibáñez del Campo";11;2023;"Argentina";1;"Temporal";"Otorgadas"
"104";"Aisén";11201;"Aysén del General Carlos Ibáñez del Campo";11;2023;"Bolivia";2;"Temporal";"Otorgadas"
"105";"Aisén";11201;"Aysén del General Carlos Ibáñez del Campo";11;2023;"Colombia";32;"Temporal";"Otorgadas"
"106";"Aisén";11201;"Aysén del General Carlos Ibáñez del Campo";11;2023;"Indonesia";4;"Temporal";"Otorgadas"
"107";"Aisén";11201;"Aysén del General Carlos Ibáñez del Campo";11;2023;"México";2;"Temporal";"Otorgadas"
"108";"Aisén";11201;"Aysén del General Carlos Ibáñez del Campo";11;2023;"Perú";2;"Temporal";"Otorgadas"
"109";"Aisén";11201;"Aysén del General Carlos Ibáñez del Campo";11;2023;"República Dominicana";2;"Temporal";"Otorgadas"
"110";"Aisén";11201;"Aysén del General Carlos Ibáñez del Campo";11;2023;"Venezuela";5;"Temporal";"Otorgadas"
"111";"Buin";13402;"Metropolitana de Santiago";13;2023;"Alemania";2;"Temporal";"Otorgadas"
"112";"Buin";13402;"Metropolitana de Santiago";13;2023;"Argentina";3;"Temporal";"Otorgadas"
"113";"Buin";13402;"Metropolitana de Santiago";13;2023;"Bolivia";30;"Temporal";"Otorgadas"
"114";"Buin";13402;"Metropolitana de Santiago";13;2023;"Brasil";2;"Temporal";"Otorgadas"
"115";"Buin";13402;"Metropolitana de Santiago";13;2023;"Colombia";39;"Temporal";"Otorgadas"
"116";"Buin";13402;"Metropolitana de Santiago";13;2023;"Costa Rica";1;"Temporal";"Otorgadas"
"117";"Buin";13402;"Metropolitana de Santiago";13;2023;"Cuba";1;"Temporal";"Otorgadas"
