"";"cut_comuna";"cut_region";"tipo";"n"
"178";"06111";6;"Subcomisaria";1
"179";"06112";6;"Comisaria";1
"180";"06112";6;"Reten";1
"181";"06113";6;"Reten";1
"182";"06113";6;"Tenencia";1
"183";"06114";6;"Reten";1
"184";"06114";6;"Tenencia";1
"185";"06115";6;"Comisaria";1
"186";"06115";6;"Reten";1
"187";"06115";6;"Tenencia";1
"188";"06116";6;"Reten";1
"189";"06116";6;"Subcomisaria";1
"190";"06117";6;"Comisaria";1
"191";"06117";6;"Reten";2
"192";"06201";6;"Comisaria";1
"193";"06202";6;"Reten";1
"194";"06203";6;"Reten";1
"195";"06203";6;"Tenencia";1
"196";"06204";6;"Tenencia";1
"197";"06205";6;"Reten";1
"198";"06205";6;"Tenencia";1
"199";"06206";6;"Reten";2
"200";"06301";6;"Comisaria";1
"201";"06301";6;"Prefectura";1
"202";"06301";6;"Reten";5
"203";"06302";6;"Tenencia";1
"204";"06303";6;"Reten";1
"205";"06303";6;"Subcomisaria";1
"206";"06303";6;"Tenencia carreteras";1
"207";"06304";6;"Reten";1
"208";"06305";6;"Tenencia";1
"209";"06306";6;"Reten";1
"210";"06307";6;"Reten";1
"211";"06307";6;"Tenencia";1
"212";"06308";6;"Reten";1
"213";"06309";6;"Reten";1
"214";"06310";6;"Comisaria";1
"215";"07101";7;"Comisaria";2
"216";"07101";7;"Prefectura";1
"217";"07101";7;"Reten";1
"218";"07101";7;"Subcomisaria";1
"219";"07101";7;"Tenencia";4
"220";"07101";7;"Zona";1
"221";"07102";7;"Comisaria";1
"222";"07102";7;"Reten";2
"223";"07103";7;"Reten";2
"224";"07103";7;"Tenencia";1
"225";"07104";7;"Reten";1
"226";"07105";7;"Reten";2
"227";"07105";7;"Tenencia";1
"228";"07106";7;"Tenencia";1
"229";"07107";7;"Reten";2
"230";"07107";7;"Tenencia";1
"231";"07108";7;"Reten";2
"232";"07108";7;"Tenencia";1
"233";"07109";7;"Comisaria";1
"234";"07109";7;"Reten";6
"235";"07109";7;"Tenencia";1
"236";"07110";7;"Reten";1
"237";"07110";7;"Tenencia carreteras";1
"238";"07201";7;"Comisaria";1
"239";"07201";7;"Reten";5
"240";"07202";7;"Comisaria";1
"241";"07203";7;"Reten";2
"242";"07301";7;"Comisaria";1
"243";"07301";7;"Prefectura";1
"244";"07301";7;"Reten";3
"245";"07301";7;"Subcomisaria";1
"246";"07301";7;"Tenencia";2
"247";"07302";7;"Reten";1
"248";"07302";7;"Tenencia";1
"249";"07303";7;"Comisaria";1
"250";"07303";7;"Reten";1
"251";"07304";7;"Comisaria";1
"252";"07304";7;"Reten";6
"253";"07305";7;"Tenencia";1
"254";"07306";7;"Reten";1
"255";"07306";7;"Tenencia";1
"256";"07306";7;"Tenencia carreteras";1
"257";"07307";7;"Reten";2
"258";"07307";7;"Tenencia";1
"259";"07308";7;"Comisaria";1
"260";"07308";7;"Reten";3
"261";"07309";7;"Reten";3
"262";"07401";7;"Comisaria";1
"263";"07401";7;"Prefectura";1
"264";"07401";7;"Reten";5
"265";"07401";7;"Tenencia";2
"266";"07401";7;"Tenencia carreteras";1
"267";"07402";7;"Tenencia";1
"268";"07403";7;"Reten";1
"269";"07403";7;"Subcomisaria";1
"270";"07404";7;"Comisaria";1
"271";"07404";7;"Reten";3
"272";"07404";7;"Tenencia";1
"273";"07405";7;"Reten";2
"274";"07405";7;"Tenencia";1
"275";"07406";7;"Comisaria";1
"276";"07406";7;"Reten";4
"277";"07407";7;"Reten";2
"278";"07407";7;"Subcomisaria";1
"279";"07408";7;"Reten";3
"280";"08101";8;"Comisaria";2
"281";"08101";8;"Prefectura";1
"282";"08101";8;"Subcomisaria";1
"283";"08101";8;"Zona";1
"284";"08102";8;"Comisaria";1
"285";"08102";8;"Reten";2
"286";"08102";8;"Subcomisaria";1
"287";"08102";8;"Tenencia";1
"288";"08103";8;"Subcomisaria";1
"289";"08104";8;"Reten";1
"290";"08104";8;"Tenencia";1
"291";"08105";8;"Reten";2
"292";"08105";8;"Tenencia";1
"293";"08106";8;"Comisaria";1
"294";"08107";8;"Comisaria";1
"295";"08107";8;"Tenencia";1
"296";"08108";8;"Subcomisaria";1
"297";"08109";8;"Tenencia";1
"298";"08110";8;"Comisaria";1
"299";"08110";8;"Prefectura";1
"300";"08111";8;"Comisaria";1
"301";"08111";8;"Reten";2
"302";"08112";8;"Comisaria";1
"303";"08201";8;"Comisaria";1
"304";"08201";8;"Prefectura";1
"305";"08201";8;"Reten";1
"306";"08202";8;"Comisaria";1
"307";"08202";8;"Reten";1
"308";"08202";8;"Tenencia carreteras";1
"309";"08203";8;"Comisaria";1
"310";"08204";8;"Tenencia";1
"311";"08205";8;"Comisaria";1
"312";"08206";8;"Reten";1
"313";"08206";8;"Subcomisaria";1
"314";"08207";8;"Tenencia";1
"315";"08301";8;"Comisaria";1
"316";"08301";8;"Prefectura";1
"317";"08301";8;"Reten";4
"318";"08301";8;"Subcomisaria";1
"319";"08301";8;"Tenencia";2
"320";"08301";8;"Tenencia carreteras";1
"321";"08302";8;"Tenencia";1
"322";"08303";8;"Reten";2
"323";"08303";8;"Subcomisaria";1
"324";"08304";8;"Subcomisaria";1
"325";"08305";8;"Comisaria";1
"326";"08306";8;"Comisaria";1
"327";"08308";8;"Reten";3
"328";"08309";8;"Reten";2
"329";"08310";8;"Reten";1
"330";"08311";8;"Comisaria";1
"331";"08311";8;"Reten";1
"332";"08312";8;"Reten";3
"333";"08312";8;"Tenencia";1
"334";"08313";8;"Comisaria";1
"335";"08313";8;"Reten";4
"336";"08314";8;"Tenencia";1
"337";"09101";9;"Comisaria";2
"338";"09101";9;"Prefectura";1
"339";"09101";9;"Subcomisaria";2
"340";"09101";9;"Tenencia";1
"341";"09101";9;"Zona";1
"342";"09102";9;"Reten";2
"343";"09102";9;"Subcomisaria";1
"344";"09103";9;"Reten";2
"345";"09103";9;"Tenencia";1
"346";"09104";9;"Reten";2
"347";"09104";9;"Tenencia";2
"348";"09105";9;"Reten";2
"349";"09105";9;"Tenencia";1
"350";"09106";9;"Tenencia";1
"351";"09107";9;"Reten";2
"352";"09107";9;"Tenencia";1
"353";"09108";9;"Comisaria";1
"354";"09108";9;"Reten";2
"355";"09108";9;"Tenencia carreteras";1
"356";"09109";9;"Comisaria";1
"357";"09109";9;"Reten";2
"358";"09109";9;"Tenencia carreteras";1
"359";"09110";9;"Reten";1
"360";"09111";9;"Comisaria";1
"361";"09112";9;"Comisaria";1
"362";"09113";9;"Reten";1
"363";"09114";9;"Comisaria";1
"364";"09114";9;"Reten";1
"365";"09115";9;"Comisaria";1
"366";"09116";9;"Reten";1
"367";"09116";9;"Tenencia";1
"368";"09117";9;"Reten";3
