comuna;cut_comuna;region;poblacion;hogares;ytotcorh;ytrabajocorh;ypchautcor;ypc;numper;v12mt;p9;esc;edad;ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;originario_p;extranjero_p;pobreza_p;pobreza_multi_p;inactivos_p;desocupados_p;independientes_p;trabajo_familiar_no_remunerado_p;trabajo_servicio_domestico_p;trabajo_empleador_p;trabajo_domestico_p;fonasa_p;isapre_p;estudios_basica_o_menos_p;estudios_sin_media_o_menos_p;estudios_superiores_p;estudios_superiores_incompletos_p;ingreso_ocup_princ_menor_mediana_p;ingreso_ocup_princ_menor_2medianas_p;ingreso_ytrabajocor_menor_mediana_p;ingreso_ytrabajocor_menor_2medianas_p;pension_menor_mediana_p;pension_menor_salario_minimo_p;hogar_jefatura_femenina_p;hacinamiento_p;men18c_p;rural_p;may60c_p;vivienda_propia_p;vivienda_arrendada_p;vivienda_pequeña_p;vivienda_mediana_p;vivienda_grande_p;sector_malo_p;sector_dañado_p;ingreso_percapita_hogar_menor_mediana_p;ingreso_total_hogar_menor_mediana_p;ingreso_trabajo_hogar_menor_mediana_p;carencia_estado_vivienda_p;carencia_servicios_basicos_p
Coinco;6103;Región del Libertador Gral. Bernardo O'Higgins;7956;2605;1317026,256813820;865192,622648752;336230,811516315;460163,839155470;3,04990403071017;NA;3,04990403071017;10,24798785117692;40,3543237807944;359943,185520362;726024,285714286;754208,010340227;381293,532338308;544350,256410256;351742,827802916;NA;NA;4,52903469079940;2,49157868275515;0,04084967320261438;0,00000000000000000;0,10356963298139769;0,2865761689291101;0,4117647058823529;0,03443941679235797;0,0793112116641528;0,000000000000000000;0,00590749120160885;0,03883861236802413;0,00967823026646556;0,884866767219708;0,05794369029663148;0,29612870789341378;0,3515585721468074;0,1210407239819005;0,05605832076420312;0,2494972347913524;0,320889894419306;0,2249874308697838;0,328557063851181;0,00615887380593263;0,01822523881347411;0,5166986564299424;0,4053742802303263;0,3988483685220729;0,528598848368522112;0,509404990403071;0,6721689059500959;0,0644913627639156;0,00000000000000000;0,869481765834933;0,13051823416506717;0,04030710172744722;0,00000000000000000;0,7124760076775432;0,5831094049904031;0,6234165067178503;0,0809980806142035;0,20000000000000001
Colbún;7402;Región del Maule;23127;9359;773824,429533070;395175,154931082;205674,656480393;347751,020835559;2,47109733945934;NA;2,52356020942408;9,12897553912189;39,9609547282397;242695,327106845;419756,174298761;444377,058873003;199734,268398268;444869,152425341;237945,008907338;NA;NA;4,27863536126605;2,44043758377654;0,01772819648030441;0,03636442253642928;0,13438837722142949;0,2074631383231721;0,4241362909153803;0,04886063907986336;0,0743719462100575;0,005059021922428330;0,01366368314091754;0,01504734725645350;0,02226834435940675;0,911402257102088;0,00657240454879578;0,34665110044536690;0,4424266009426212;0,0553033251178276;0,05910840143555152;0,2462489730617893;0,327712197863969;0,2412331906429714;0,348726596618671;0,02788947982877157;0,03995330133610066;0,5814723795277273;0,2363500373971578;0,3573031306763543;0,537450582327171689;0,426861844214125;0,6849022331445668;0,1260818463511059;0,03258895181109093;0,937600170958436;0,02981087723047334;0,01730954161769420;0,08323538839619618;0,7746554119029810;0,8051073832674431;0,7976279517042419;0,0887915375574314;0,04220536382092104
Colchane;1403;Región de Tarapacá;1578;668;715815,290419162;385943,113772455;237939,721556886;415338,513473054;2,37425149700599;NA;2,79491017964072;7,20465890183028;40,2731305449937;245397,454372624;482343,387470998;496814,671814672;NA;766795,580110497;245397,454372624;NA;NA;3,00570342205323;1,88656527249683;0,96007604562737647;0,30798479087452474;0,28136882129277568;0,3498098859315589;0,4518377693282636;0,03675538656527250;0,1451204055766794;0,000000000000000000;0,00000000000000000;0,01330798479087452;0,00000000000000000;0,865019011406844;0,00000000000000000;0,48859315589353614;0,5019011406844106;0,0399239543726236;0,03929024081115336;0,2205323193916350;0,247148288973384;0,2294043092522180;0,288973384030418;0,00000000000000000;0,00000000000000000;0,4760479041916167;0,2215568862275449;0,2529940119760479;1,000000000000000000;0,546407185628742;0,5598802395209581;0,0943113772455090;0,02245508982035928;0,272455089820359;0,70508982035928147;0,28742514970059879;0,00000000000000000;0,7245508982035929;0,8203592814371258;0,8203592814371258;0,1781437125748503;0,05239520958083832
Colina;13301;Región Metropolitana de Santiago;191338;57256;1774988,042668017;1287272,336750733;456062,534878441;587624,935901914;3,34190303199665;73,1536105738233;3,44337711331564;11,55874538490735;33,3934032967837;443609,498656827;746861,349200731;803021,606672041;353497,974341661;855464,332949438;428597,893418976;NA;NA;4,36683774263345;2,42771953297306;0,09586699975958775;0,08629754674973085;0,04406338521360106;0,2374175542756797;0,2362625301821907;0,06415871389896413;0,1162340988198894;0,001557453302532691;0,01950997710857226;0,01077674063698795;0,02982157229614609;0,752286529596839;0,18102520147592219;0,17364559052566661;0,2607793538136701;0,1689209670844265;0,08308856578410979;0,2652374332333358;0,393011320281387;0,2384001087081500;0,401368259310749;0,01946816628165864;0,02270850536746491;0,4928915746821294;0,4521098225513484;0,5110206790554702;0,174060360486237242;0,315058683806064;0,6883645382143356;0,2123096269386615;0,05938242280285035;0,672680592426995;0,15958152857342461;0,06406315495319267;0,14910227749056867;0,5625436635461786;0,4261387452843370;0,4141749336314098;0,1035350006986167;0,10966536258208746
Collipulli;9202;Región de La Araucanía;26420;9421;982578,748115911;589714,963804267;300722,048614797;441729,844708630;2,80755758412058;NA;2,80755758412058;9,48815120406793;39,0212717638153;278267,451135503;454729,647539267;525247,208286039;267549,073359073;514345,995568218;269921,306775170;NA;NA;5,02558667676003;2,79034822104466;0,30344436033308098;0,00000000000000000;0,11267978803936411;0,1808478425435276;0,3933383800151400;0,01139288417865254;0,1093868281604845;0,000000000000000000;0,01627554882664648;0,00897047691143073;0,01729750189250568;0,927327781983346;0,00707797123391370;0,32812263436790312;0,3912566237698713;0,0666161998485996;0,04984859954579864;0,2812641937925814;0,346139288417865;0,2493565480696442;0,357191521574565;0,00669947009841030;0,00980317940953823;0,5952658953401975;0,3142978452393589;0,4044156671266320;0,251777942893535722;0,489863071860737;0,7080989279269717;0,0678271945653328;0,07631886211654813;0,886636238191275;0,03704489969217705;0,05190531790680395;0,22693981530623075;0,7805965396454729;0,6951491349113682;0,6642606941938223;0,2085765842267275;0,04468740048827088
Coltauco;6104;Región del Libertador Gral. Bernardo O'Higgins;21829;7729;1030577,339241817;622256,339241817;285249,473670591;412648,248673826;2,82390994954069;NA;3,00957433044378;9,72972972972973;40,3131155801915;293188,188144212;504427,777032316;533734,379826898;217465,666929755;523275,645403633;287752,455403363;NA;NA;4,68060836501901;2,64872417426359;0,03651106326446470;0,01740803518255532;0,04631453570937744;0,1514040954693298;0,3991479224884328;0,00989509368271565;0,0497045215080856;0,000000000000000000;0,00971185120710981;0,01410967062165010;0,01607952723441294;0,872050941408218;0,08337532640065967;0,30697695725869256;0,3892986394246186;0,0941866324614046;0,05460625773054194;0,2644188922992350;0,399102111869531;0,2503550322964863;0,380273947501031;0,04828439232214028;0,05804205414815154;0,4352438866606288;0,2744210117738388;0,3717169103376892;0,430068572907232494;0,486220727131582;0,5581575883037909;0,1976969853797386;0,00892741622460862;0,945012291370164;0,04606029240522707;0,25824815629447534;0,04657782378056670;0,6621813947470565;0,6452322422046837;0,6423858196403157;0,2497088886013715;0,03752102471212317
Combarbalá;4302;Región de Coquimbo;13882;5789;816836,932285369;356671,022283641;201598,364829850;392024,585593367;2,39592330281568;NA;2,43479011919157;8,97321714102974;50,0423570090765;248580,942947702;436551,229997612;417833,444174757;302325,581395349;490856,318152662;243048,598905057;NA;NA;4,04206886615761;2,32041492580320;0,24837919608125630;0,00000000000000000;0,06562454977668923;0,1967295778706238;0,5228353263218556;0,05589972626422705;0,0667050857225184;0,000000000000000000;0,00000000000000000;0,01094943091773520;0,01671228929549056;0,859458291312491;0,06512029966863564;0,44943091773519667;0,5050425010805359;0,1310329923642126;0,07974355280218988;0,2583921625126063;0,289583633482207;0,2721509868894972;0,333021178504538;0,02730154156461605;0,06591269269557701;0,4729659699429953;0,1761962342373467;0,2205907756089135;0,625323890136465721;0,625496631542581;0,7293142166177232;0,0817066850924167;0,01520124373812403;0,958887545344619;0,02591121091725687;0,02660217654171705;0,01278286405251339;0,6387977198134392;0,7978925548453965;0,8700984626014856;0,1675591639315944;0,13162895145966488
Concepción;8101;Región del Biobío;239085;94688;1492915,113541315;950421,931860426;533712,373859412;684450,366973640;2,51993916863805;55,7139384116694;2,64461177762758;13,27733946803124;39,4464981073677;495504,834096660;735905,279762880;804213,185298649;473554,973480243;769362,462815688;486051,622322605;NA;NA;6,15032285368296;3,31469958475276;0,06537423928728277;0,05962314657966832;0,06242967982098417;0,1171006127527867;0,3636489114749984;0,03920781312085660;0,0887634105025409;0,000246774159817638;0,01154819415688981;0,01994269820356777;0,01443419704289270;0,778639396030700;0,17707928142710752;0,11149591149591150;0,1841478971913754;0,3037538950582429;0,17666938536503754;0,2245937637241985;0,353443336052032;0,2133509003074220;0,358412280151411;0,02023129849216806;0,03581989668946191;0,5520762926664413;0,2375485806015546;0,2923390503548496;0,018534555593105777;0,398139151740453;0,4826060324433931;0,3375718148022981;0,03869550523825617;0,829049087529571;0,11922313281514026;0,02901106792835417;0,15034640081108483;0,4426220851639067;0,4914772727272727;0,5495522135856709;0,1056311253801960;0,05702940182494086
Conchalí;13104;Región Metropolitana de Santiago;138232;50927;1122092,479450979;643119,664735798;308201,765389675;487089,175231213;2,71382567204037;40,0000000000000;3,14143774422212;11,42177599129382;42,1722755946525;312686,758652121;518350,231838303;541836,576690871;246954,965357968;555392,713124486;307574,627003878;NA;NA;3,79609641761676;2,13561982753632;0,02609381329938075;0,15150616355113142;0,07161872793564443;0,1914752011111754;0,3666083106661265;0,04076480120377337;0,0889736095838880;0,003913710284159963;0,02225244516465073;0,01391862955032120;0,03341483882169107;0,858643440013890;0,07797036865559349;0,16138086694831877;0,2852016899126107;0,1398373748480815;0,08057468603507148;0,2698796226633486;0,399118872619943;0,2547094739278893;0,400847849991319;0,02343162220035882;0,04385381098443197;0,4988905688534569;0,3088734855773951;0,3120545093958018;0,000000000000000000;0,529817189310189;0,5097492489249318;0,2657725764329334;0,07995758634908791;0,866711174818858;0,04704773499322560;0,04979676792271290;0,42374379013097180;0,4906827419639876;0,6037072672649086;0,6417617373888115;0,3048481159306458;0,01127103501089795
Concón;5103;Región de Valparaíso;47311;18665;2255305,134744173;1489166,515563890;951800,934261988;1139755,118349853;2,52268952585052;48,9162861491629;2,54524511117064;13,42707120805709;42,2911162308977;761313,413645875;1113879,557318729;1190969,154550488;663135,141630901;1330262,130918195;743858,931960855;NA;NA;6,67933743894670;3,54695264387343;0,03352285937731183;0,06662298408403965;0,01714189089218152;0,1245799074211071;0,3249984147449853;0,04297097926486441;0,1285113398575384;0,002515271289974847;0,01302022785398745;0,04366849147132802;0,02718183931855171;0,662319545137494;0,28418338230009932;0,10149859440722031;0,1720107374606328;0,3085751727927966;0,16858658662890236;0,2105430026843652;0,324617953541460;0,1911394813045592;0,337363403859568;0,00631988332523092;0,02451861089387246;0,5261184034288776;0,2592017144387892;0,3089204393249397;0,074524511117064027;0,487597106884543;0,4979373158317707;0,3328154299491026;0,03380658987409590;0,661023305652290;0,26997053308331104;0,01414412001071524;0,00508974015537102;0,3098848111438521;0,3100991159924993;0,4593624430752746;0,1360835788909724;0,06225555853201178
