cut_comuna;comuna;cut_region;region;opciones;votos
4202;Canela;4;Coquimbo;VOTOS NULOS;113
4302;Combarbalá;4;Coquimbo;APRUEBO;3716
4302;Combarbalá;4;Coquimbo;RECHAZO;6161
4302;Combarbalá;4;Coquimbo;VOTOS EN BLANCO;141
4302;Combarbalá;4;Coquimbo;VOTOS NULOS;226
4102;Coquimbo;4;Coquimbo;APRUEBO;63400
4102;Coquimbo;4;Coquimbo;RECHAZO;88376
4102;Coquimbo;4;Coquimbo;VOTOS EN BLANCO;1238
4102;Coquimbo;4;Coquimbo;VOTOS NULOS;3091
4201;Illapel;4;Coquimbo;APRUEBO;9889
4201;Illapel;4;Coquimbo;RECHAZO;13523
4201;Illapel;4;Coquimbo;VOTOS EN BLANCO;217
4201;Illapel;4;Coquimbo;VOTOS NULOS;416
4104;La Higuera;4;Coquimbo;APRUEBO;1444
4104;La Higuera;4;Coquimbo;RECHAZO;2274
4104;La Higuera;4;Coquimbo;VOTOS EN BLANCO;25
4104;La Higuera;4;Coquimbo;VOTOS NULOS;83
4101;La Serena;4;Coquimbo;APRUEBO;68172
4101;La Serena;4;Coquimbo;RECHAZO;91678
4101;La Serena;4;Coquimbo;VOTOS EN BLANCO;1015
4101;La Serena;4;Coquimbo;VOTOS NULOS;2867
4203;Los Vilos;4;Coquimbo;APRUEBO;6910
4203;Los Vilos;4;Coquimbo;RECHAZO;9135
4203;Los Vilos;4;Coquimbo;VOTOS EN BLANCO;122
4203;Los Vilos;4;Coquimbo;VOTOS NULOS;302
4303;Monte Patria;4;Coquimbo;APRUEBO;7213
4303;Monte Patria;4;Coquimbo;RECHAZO;16159
4303;Monte Patria;4;Coquimbo;VOTOS EN BLANCO;191
4303;Monte Patria;4;Coquimbo;VOTOS NULOS;392
4301;Ovalle;4;Coquimbo;APRUEBO;28559
4301;Ovalle;4;Coquimbo;RECHAZO;50875
4301;Ovalle;4;Coquimbo;VOTOS EN BLANCO;581
4301;Ovalle;4;Coquimbo;VOTOS NULOS;1345
4105;Paiguano;4;Coquimbo;APRUEBO;1534
4105;Paiguano;4;Coquimbo;RECHAZO;2837
4105;Paiguano;4;Coquimbo;VOTOS EN BLANCO;31
4105;Paiguano;4;Coquimbo;VOTOS NULOS;71
4304;Punitaqui;4;Coquimbo;APRUEBO;2988
4304;Punitaqui;4;Coquimbo;RECHAZO;6113
4304;Punitaqui;4;Coquimbo;VOTOS EN BLANCO;75
4304;Punitaqui;4;Coquimbo;VOTOS NULOS;162
4305;Río Hurtado;4;Coquimbo;APRUEBO;1131
4305;Río Hurtado;4;Coquimbo;RECHAZO;2768
4305;Río Hurtado;4;Coquimbo;VOTOS EN BLANCO;40
4305;Río Hurtado;4;Coquimbo;VOTOS NULOS;83
4204;Salamanca;4;Coquimbo;APRUEBO;7541
4204;Salamanca;4;Coquimbo;RECHAZO;12558
4204;Salamanca;4;Coquimbo;VOTOS EN BLANCO;195
4204;Salamanca;4;Coquimbo;VOTOS NULOS;305
4106;Vicuña;4;Coquimbo;APRUEBO;7404
4106;Vicuña;4;Coquimbo;RECHAZO;13433
4106;Vicuña;4;Coquimbo;VOTOS EN BLANCO;183
4106;Vicuña;4;Coquimbo;VOTOS NULOS;355
5402;Cabildo;5;Valparaíso;APRUEBO;6292
5402;Cabildo;5;Valparaíso;RECHAZO;9537
5402;Cabildo;5;Valparaíso;VOTOS EN BLANCO;128
5402;Cabildo;5;Valparaíso;VOTOS NULOS;253
5502;Calera;5;Valparaíso;APRUEBO;16599
5502;Calera;5;Valparaíso;RECHAZO;21650
5502;Calera;5;Valparaíso;VOTOS EN BLANCO;255
5502;Calera;5;Valparaíso;VOTOS NULOS;730
5302;Calle Larga;5;Valparaíso;APRUEBO;3839
5302;Calle Larga;5;Valparaíso;RECHAZO;6820
5302;Calle Larga;5;Valparaíso;VOTOS EN BLANCO;57
5302;Calle Larga;5;Valparaíso;VOTOS NULOS;158
5702;Catemu;5;Valparaíso;APRUEBO;3595
5702;Catemu;5;Valparaíso;RECHAZO;7294
5702;Catemu;5;Valparaíso;VOTOS EN BLANCO;86
5702;Catemu;5;Valparaíso;VOTOS NULOS;153
5503;Hijuelas;5;Valparaíso;APRUEBO;4453
5503;Hijuelas;5;Valparaíso;RECHAZO;9924
5503;Hijuelas;5;Valparaíso;VOTOS EN BLANCO;100
5503;Hijuelas;5;Valparaíso;VOTOS NULOS;280
5504;La Cruz;5;Valparaíso;APRUEBO;5621
5504;La Cruz;5;Valparaíso;RECHAZO;9747
5504;La Cruz;5;Valparaíso;VOTOS EN BLANCO;77
5504;La Cruz;5;Valparaíso;VOTOS NULOS;278
5401;La Ligua;5;Valparaíso;APRUEBO;11405
5401;La Ligua;5;Valparaíso;RECHAZO;16366
