cut_comuna;comuna;cut_region;region;opciones;votos
1107;Alto Hospicio;1;Tarapacá;A FAVOR;24231
1107;Alto Hospicio;1;Tarapacá;EN CONTRA;28564
1107;Alto Hospicio;1;Tarapacá;VOTOS EN BLANCO;NA
1107;Alto Hospicio;1;Tarapacá;VOTOS NULOS;2594
1402;Camiña;1;Tarapacá;A FAVOR;890
1402;Camiña;1;Tarapacá;EN CONTRA;417
1402;Camiña;1;Tarapacá;VOTOS EN BLANCO;10
1402;Camiña;1;Tarapacá;VOTOS NULOS;37
1403;Colchane;1;Tarapacá;A FAVOR;792
1403;Colchane;1;Tarapacá;EN CONTRA;166
1403;Colchane;1;Tarapacá;VOTOS EN BLANCO;1
1403;Colchane;1;Tarapacá;VOTOS NULOS;7
1404;Huara;1;Tarapacá;A FAVOR;1366
1404;Huara;1;Tarapacá;EN CONTRA;1060
1404;Huara;1;Tarapacá;VOTOS EN BLANCO;20
1404;Huara;1;Tarapacá;VOTOS NULOS;117
1101;Iquique;1;Tarapacá;A FAVOR;56856
1101;Iquique;1;Tarapacá;EN CONTRA;66216
1101;Iquique;1;Tarapacá;VOTOS EN BLANCO;NA
1101;Iquique;1;Tarapacá;VOTOS NULOS;4648
1405;Pica;1;Tarapacá;A FAVOR;2127
1405;Pica;1;Tarapacá;EN CONTRA;2220
1405;Pica;1;Tarapacá;VOTOS EN BLANCO;66
1405;Pica;1;Tarapacá;VOTOS NULOS;140
1401;Pozo Almonte;1;Tarapacá;A FAVOR;4104
1401;Pozo Almonte;1;Tarapacá;EN CONTRA;4712
1401;Pozo Almonte;1;Tarapacá;VOTOS EN BLANCO;NA
1401;Pozo Almonte;1;Tarapacá;VOTOS NULOS;353
2101;Antofagasta;2;Antofagasta;A FAVOR;93648
2101;Antofagasta;2;Antofagasta;EN CONTRA;138986
2101;Antofagasta;2;Antofagasta;VOTOS EN BLANCO;NA
2101;Antofagasta;2;Antofagasta;VOTOS NULOS;9972
