"";"cut_comuna";"comuna";"cut_region";"region";"delitos"
"109";6308;"Placilla";6;"Libertador Gral. Bernardo O'Higgins";411
"110";6309;"Pumanque";6;"Libertador Gral. Bernardo O'Higgins";232
"111";6310;"Santa Cruz";6;"Libertador Gral. Bernardo O'Higgins";2350
"112";7101;"Talca";7;"Maule";12941
"113";7102;"Constitución";7;"Maule";2557
"114";7103;"Curepto";7;"Maule";286
"115";7104;"Empedrado";7;"Maule";160
"116";7105;"Maule";7;"Maule";2220
"117";7106;"Pelarco";7;"Maule";372
"118";7107;"Pencahue";7;"Maule";477
"119";7108;"Río Claro";7;"Maule";591
"120";7109;"San Clemente";7;"Maule";2299
"121";7110;"San Rafael";7;"Maule";558
"122";7201;"Cauquenes";7;"Maule";1981
"123";7202;"Chanco";7;"Maule";263
"124";7203;"Pelluhue";7;"Maule";674
"125";7301;"Curicó";7;"Maule";10322
"126";7302;"Hualañé";7;"Maule";532
"127";7303;"Licantén";7;"Maule";542
"128";7304;"Molina";7;"Maule";2832
"129";7305;"Rauco";7;"Maule";406
"130";7306;"Romeral";7;"Maule";964
"131";7307;"Sagrada Familia";7;"Maule";781
"132";7308;"Teno";7;"Maule";1638
"133";7309;"Vichuquén";7;"Maule";274
"134";7401;"Linares";7;"Maule";5095
"135";7402;"Colbún";7;"Maule";773
"136";7403;"Longaví";7;"Maule";1352
"137";7404;"Parral";7;"Maule";2304
"138";7405;"Retiro";7;"Maule";874
"139";7406;"San Javier";7;"Maule";2390
"140";7407;"Villa Alegre";7;"Maule";829
"141";7408;"Yerbas Buenas";7;"Maule";651
"142";8101;"Concepción";8;"Biobío";16820
"143";8102;"Coronel";8;"Biobío";4796
"144";8103;"Chiguayante";8;"Biobío";2557
"145";8104;"Florida";8;"Biobío";556
"146";8105;"Hualqui";8;"Biobío";1116
"147";8106;"Lota";8;"Biobío";2080
"148";8107;"Penco";8;"Biobío";2189
"149";8108;"San Pedro de la Paz";8;"Biobío";5311
"150";8109;"Santa Juana";8;"Biobío";758
"151";8110;"Talcahuano";8;"Biobío";7447
"152";8111;"Tomé";8;"Biobío";2931
"153";8112;"Hualpén";8;"Biobío";4042
"154";8201;"Lebu";8;"Biobío";4199
"155";8202;"Arauco";8;"Biobío";2330
"156";8203;"Cañete";8;"Biobío";1748
"157";8204;"Contulmo";8;"Biobío";278
"158";8205;"Curanilahue";8;"Biobío";1293
"159";8206;"Los Alamos";8;"Biobío";1339
"160";8207;"Tirúa";8;"Biobío";509
"161";8301;"Los Angeles";8;"Biobío";12011
"162";8302;"Antuco";8;"Biobío";181
"163";8303;"Cabrero";8;"Biobío";2215
"164";8304;"Laja";8;"Biobío";1170
"165";8305;"Mulchén";8;"Biobío";2120
"166";8306;"Nacimiento";8;"Biobío";1151
"167";8307;"Negrete";8;"Biobío";603
"168";8308;"Quilaco";8;"Biobío";189
"169";8309;"Quilleco";8;"Biobío";351
"170";8310;"San Rosendo";8;"Biobío";240
"171";8311;"Santa Bárbara";8;"Biobío";735
"172";8312;"Tucapel";8;"Biobío";815
"173";8313;"Yumbel";8;"Biobío";1541
"174";8314;"Alto Biobío";8;"Biobío";303
