"";"cut_comuna";"comuna";"cut_region";"region";"delitos_aumento_2a";"delitos_aumento_3a";"delitos_aumento_5a";"delitos_aumento_10a"
"58";5501;"Quillota";5;"Valparaíso";1,38423482849604;1,14235166031573;1,0357847976308;0,999285714285714
"59";5502;"Calera";5;"Valparaíso";1,15081450341566;1,16057233704293;1,07038123167155;0,655100209392761
"60";5503;"Hijuelas";5;"Valparaíso";1,32778702163062;0,757115749525617;1,41489361702128;1,14655172413793
"61";5504;"La Cruz";5;"Valparaíso";1,39791666666667;1,27809523809524;1,19182948490231;1,40083507306889
"62";5506;"Nogales";5;"Valparaíso";0,822296730930428;0,607430340557276;0,804098360655738;0,854529616724739
"63";5601;"San Antonio";5;"Valparaíso";0,983139436857191;1,05119884622318;0,61887072808321;0,918123130215714
"64";5602;"Algarrobo";5;"Valparaíso";1,06435643564356;0,975056689342404;0,70801317233809;0,681098204857445
"65";5603;"Cartagena";5;"Valparaíso";1,50719424460432;1,88845070422535;1,3217665615142;1,32910388580492
"66";5604;"El Quisco";5;"Valparaíso";1,36741649625085;1,34360348292029;0,874074074074074;0,686516084873374
"67";5605;"El Tabo";5;"Valparaíso";1,25307881773399;1,3257328990228;1,25385089340727;1,25
"68";5606;"Santo Domingo";5;"Valparaíso";1,62162162162162;1,71428571428571;1,28654970760234;1,23827392120075
"69";5701;"San Felipe";5;"Valparaíso";1,11437733832175;1,10405083399523;0,851194121249235;0,761922163347342
"70";5702;"Catemu";5;"Valparaíso";1,2078431372549;1,26488706365503;1,28333333333333;0,886330935251799
"71";5703;"Llaillay";5;"Valparaíso";1,34486266531027;1,28599221789883;1,14558058925477;0,969919295671313
"72";5704;"Panquehue";5;"Valparaíso";1,25503355704698;1,0625;0,918918918918919;1,07471264367816
"73";5705;"Putaendo";5;"Valparaíso";1,07313432835821;1,16155088852989;0,975576662143826;0,816118047673099
"74";5706;"Santa María";5;"Valparaíso";1,35249042145594;1,05688622754491;0,97111416781293;0,867321867321867
"75";5801;"Quilpué";5;"Valparaíso";1,02789605050653;0,950190010857763;1,02279035792549;0,814638119618338
"76";5802;"Limache";5;"Valparaíso";1,48678272082527;1,51213114754098;1,15995975855131;1,167004048583
"77";5803;"Olmué";5;"Valparaíso";1,34520123839009;1,28360413589365;1,45561139028476;1,17432432432432
"78";5804;"Villa Alemana";5;"Valparaíso";1,17412805830297;1,10617949975478;0,862029428626027;0,769663879883979
"79";6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins";1,35286294791282;1,41912733472836;0,896938525593926;0,884674847811383
"80";6102;"Codegua";6;"Libertador Gral. Bernardo O'Higgins";1,28;1,28;1,10028653295129;1,15315315315315
"81";6103;"Coinco";6;"Libertador Gral. Bernardo O'Higgins";1,31597222222222;1,34875444839858;1,09221902017291;1,02432432432432
"82";6104;"Coltauco";6;"Libertador Gral. Bernardo O'Higgins";1,02396804260985;1,1996879875195;1,07552447552448;1,26272577996716
"83";6105;"Doñihue";6;"Libertador Gral. Bernardo O'Higgins";1,09451575262544;0,995753715498938;0,877455565949485;0,839749328558639
"84";6106;"Graneros";6;"Libertador Gral. Bernardo O'Higgins";1,54124629080119;1,59913793103448;1,51252184041934;1,45735129068462
"85";6107;"Las Cabras";6;"Libertador Gral. Bernardo O'Higgins";1,4196843082637;1,13091715976331;0,864330130016959;1,25430680885972
