"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"pob_crecimiento_5a";"pob_crecimiento_10a";"pob_crecimiento_20a"
"55";5;"Valparaíso";54;"Petorca";5403;"Papudo";0,052304674730304;0,139872521246459;0,324691358024691
"56";5;"Valparaíso";54;"Petorca";5404;"Petorca";0,013149118627918;0,041429970617042;0,0798212653600081
"57";5;"Valparaíso";54;"Petorca";5405;"Zapallar";0,0638189677091279;0,169368362213527;0,396994991652755
"58";5;"Valparaíso";55;"Quillota";5501;"Quillota";0,0484061883501195;0,125776276326499;0,262086895655217
"59";5;"Valparaíso";55;"Quillota";5502;"Calera";0,0113325077864086;0,0344284946649267;0,0543590947323123
"60";5;"Valparaíso";55;"Quillota";5503;"Hijuelas";0,0285351934051998;0,0789955097289208;0,16189111747851
"61";5;"Valparaíso";55;"Quillota";5504;"La Cruz";0,135727080280085;0,374692027200158;1,00546330242254
"62";5;"Valparaíso";55;"Quillota";5506;"Nogales";0,0123736941257064;0,0367885644128738;0,0565708923544395
"63";5;"Valparaíso";56;"San Antonio";5601;"San Antonio";0,0274425197506931;0,0669877692390952;0,0968090077660828
"64";5;"Valparaíso";56;"San Antonio";5602;"Algarrobo";0,0828903989773262;0,238839285714286;0,706605874244513
"65";5;"Valparaíso";56;"San Antonio";5603;"Cartagena";0,0899242912371134;0,229444898700827;0,507127742510302
"66";5;"Valparaíso";56;"San Antonio";5604;"El Quisco";0,0848160304024874;0,253076155636847;0,828238719068413
"67";5;"Valparaíso";56;"San Antonio";5605;"El Tabo";0,0824903832454766;0,253898836537668;0,919898926089703
"68";5;"Valparaíso";56;"San Antonio";5606;"Santo Domingo";0,077416047167393;0,218614091040881;0,608701199285532
"69";5;"Valparaíso";57;"San Felipe";5701;"San Felipe";0,0549859072796191;0,140968873589195;0,292578369206037
"70";5;"Valparaíso";57;"San Felipe";5702;"Catemu";0,0459961392531452;0,119709277469004;0,24694492937629
"71";5;"Valparaíso";57;"San Felipe";5703;"Llaillay";0,0401799329063739;0,106129398410897;0,218288163593338
"72";5;"Valparaíso";57;"San Felipe";5704;"Panquehue";0,0381305441546405;0,0938895089285714;0,155296891115368
"73";5;"Valparaíso";57;"San Felipe";5705;"Putaendo";0,0315952149275942;0,0884768691870998;0,188930668249885
"74";5;"Valparaíso";57;"San Felipe";5706;"Santa María";0,0502786377708979;0,129820821954306;0,268661181750187
"75";5;"Valparaíso";58;"Marga Marga";5801;"Quilpué";0,0534521158129175;0,136364231474208;0,285621181262729
"76";5;"Valparaíso";58;"Marga Marga";5802;"Limache";0,0489398397078218;0,125585142284831;0,259765577405756
"77";5;"Valparaíso";58;"Marga Marga";5803;"Olmué";0,068668848305711;0,172719374456994;0,35958904109589
"78";5;"Valparaíso";58;"Marga Marga";5804;"Villa Alemana";0,0783184966827835;0,202303181554974;0,455865215587904
"79";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6101;"Rancagua";0,0473869431127667;0,121113076731369;0,227014192579079
"80";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6102;"Codegua";0,0512433520195485;0,133612338215919;0,296489984045382
"81";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6103;"Coinco";0,0349542112730556;0,0966242995763291;0,200478755236385
"82";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6104;"Coltauco";0,0558867006818939;0,142274954862007;0,294079831687219
"83";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6105;"Doñihue";0,05637703819522;0,144800542215337;0,316281658780963
"84";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6106;"Graneros";0,0621696801112657;0,164496355707359;0,393969262220275
"85";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6107;"Las Cabras";0,05097905541037;0,133583888230728;0,302097508329032
"86";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6108;"Machalí";0,108787972190828;0,322204525034714;1,03760463213544
"87";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6109;"Malloa";0,0155528726652936;0,0437956204379562;0,0682802928432691
"88";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6110;"Mostazal";0,0535793357933578;0,134817170111288;0,272314068000535
"89";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6111;"Olivar";0,0363950276243095;0,0918946449359721;0,172330286696352
"90";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6112;"Peumo";0,00981050934014238;0,0305856535454669;0,042019137428928
"91";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6113;"Pichidegua";0,0239541324522619;0,0698004974871822;0,143213626993599
"92";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6114;"Quinta de Tilcoco";0,0408683616230785;0,105027068832173;0,202592374379261
"93";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6115;"Rengo";0,0449188347787415;0,117896954866775;0,238557846182811
"94";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6116;"Requínoa";0,0602232471091504;0,15738781466618;0,357350676022591
"95";6;"Libertador General Bernardo O'Higgins";61;"Cachapoal";6117;"San Vicente";0,0454454574536149;0,118840269605221;0,239869110568373
"96";6;"Libertador General Bernardo O'Higgins";62;"Cardenal Caro";6201;"Pichilemu";0,0693812556869882;0,184205554505951;0,438824699670977
"97";6;"Libertador General Bernardo O'Higgins";62;"Cardenal Caro";6202;"La Estrella";-0,00289668490505313;0,00194049159120313;-0,0149443561208267
"98";6;"Libertador General Bernardo O'Higgins";62;"Cardenal Caro";6203;"Litueche";0,038093815357036;0,0993513684543585;0,195012897678418
"99";6;"Libertador General Bernardo O'Higgins";62;"Cardenal Caro";6204;"Marchihue";0,0176757683682891;0,0496598639455783;0,0838718741219444
"100";6;"Libertador General Bernardo O'Higgins";62;"Cardenal Caro";6205;"Navidad";0,0464945731886184;0,121150219987429;0,260823467043647
"101";6;"Libertador General Bernardo O'Higgins";62;"Cardenal Caro";6206;"Paredones";-0,0147961592948214;-0,0282564819127464;-0,0861439626222806
"102";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6301;"San Fernando";0,0431310520427453;0,108716154340309;0,207223966782254
"103";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6302;"Chépica";0,0209914011127972;0,0589546855531511;0,109218299216925
"104";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6303;"Chimbarongo";0,0284865992617558;0,076064142389388;0,143422148209825
"105";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6304;"Lolol";0,0314099903140999;0,0834302325581395;0,157094070164545
"106";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6305;"Nancagua";0,0417766980035914;0,106778139378296;0,206569610961586
"107";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6306;"Palmilla";0,0325005695193257;0,0852422380078219;0,163529009070683
"108";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6307;"Peralillo";0,0382942430703626;0,0999277195518613;0,193880553103854
"109";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6308;"Placilla";0,0206752446937204;0,0545392569026246;0,0900869156683111
"110";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6309;"Pumanque";-0,00424808836023793;-0,00198694294635249;-0,0295335357438586
"111";6;"Libertador General Bernardo O'Higgins";63;"Colchagua";6310;"Santa Cruz";0,0494898210676789;0,127074455414097;0,253148911124191
"112";7;"Maule";71;"Talca";7101;"Talca";0,0324944507641116;0,0830000312819803;0,147701225634128
"113";7;"Maule";71;"Talca";7102;"Constitución";0,0099306054079924;0,0320963501864646;0,048701702074792
"114";7;"Maule";71;"Talca";7103;"Curepto";-0,0359818507966656;-0,0734279918864097;-0,16718322698268
"115";7;"Maule";71;"Talca";7104;"Empedrado";-0,0066603235014272;-0,00689655172413794;-0,0413223140495868
"116";7;"Maule";71;"Talca";7105;"Maule";0,20067192368618;0,6503565105039;2,54791420194434
"117";7;"Maule";71;"Talca";7106;"Pelarco";0,0476667780376434;0,121082111786438;0,232250458475242
"118";7;"Maule";71;"Talca";7107;"Pencahue";0,00641698751604247;0,0247089569969114;0,0346647475110951
"119";7;"Maule";71;"Talca";7108;"Río Claro";0,034603022635574;0,0868534482758621;0,152597897303063
"120";7;"Maule";71;"Talca";7109;"San Clemente";0,049043820347503;0,120634105341801;0,221348600508906
"121";7;"Maule";71;"Talca";7110;"San Rafael";0,0584223918575064;0,147032870063975;0,291320004967093
"122";7;"Maule";72;"Cauquenes";7201;"Cauquenes";0,0110095082116373;0,0313014827018121;0,0363996735455288
"123";7;"Maule";72;"Cauquenes";7202;"Chanco";-0,00761230835209603;-0,0114279611235715;-0,0480304432788234
"124";7;"Maule";72;"Cauquenes";7203;"Pelluhue";0,0577477138920206;0,146970931812008;0,298078401229823
"125";7;"Maule";73;"Curicó";7301;"Curicó";0,0642960371659131;0,16358347008802;0,352862797041803
"126";7;"Maule";73;"Curicó";7302;"Hualañé";0,0028442526480974;0,0155939610647597;0,0139825466084886
"127";7;"Maule";73;"Curicó";7303;"Licantén";0,00186433385917106;0,0112912565141865;-0,00114383757506431
"128";7;"Maule";73;"Curicó";7304;"Molina";0,0606609786393533;0,151268676509593;0,296592238568193
"129";7;"Maule";73;"Curicó";7305;"Rauco";0,059401478276546;0,148875855327468;0,295239144809345
"130";7;"Maule";73;"Curicó";7306;"Romeral";0,0613947071365859;0,149796195652174;0,282877283407868
"131";7;"Maule";73;"Curicó";7307;"Sagrada Familia";0,0209840810419681;0,0556297760914872;0,0897556131737187
"132";7;"Maule";73;"Curicó";7308;"Teno";0,0447590025885514;0,110549963428651;0,200534658684438
"133";7;"Maule";73;"Curicó";7309;"Vichuquén";-0,0179954441913439;-0,039224426119902;-0,124670050761421
"134";7;"Maule";74;"Linares";7401;"Linares";0,0387801392927445;0,100853506152445;0,19156398647487
"135";7;"Maule";74;"Linares";7402;"Colbún";0,0538623816149737;0,135622732769045;0,265509621085539
"136";7;"Maule";74;"Linares";7403;"Longaví";0,0353672038381105;0,0886689949553745;0,155795111233178
"137";7;"Maule";74;"Linares";7404;"Parral";0,0319433125056596;0,0843542593429598;0,155228344062041
"138";7;"Maule";74;"Linares";7405;"Retiro";0,0276861282455889;0,0715460936331456;0,122942682480798
"139";7;"Maule";74;"Linares";7406;"San Javier";0,054044644685644;0,134878285411889;0,283900419078028
"140";7;"Maule";74;"Linares";7407;"Villa Alegre";0,0401983966780091;0,0998902305159166;0,17843841881738
"141";7;"Maule";74;"Linares";7408;"Yerbas Buenas";0,0418310970797158;0,103740453759964;0,186410210318174
"142";8;"Biobío";81;"Concepción";8101;"Concepción";0,0106171788398235;0,0323113948792575;0,0569384507557558
"143";8;"Biobío";81;"Concepción";8102;"Coronel";0,0335703349819243;0,0969967670580227;0,269079348831716
"144";8;"Biobío";81;"Concepción";8103;"Chiguayante";0,0126410835214448;0,0389538496300061;0,0848019439922618
"145";8;"Biobío";81;"Concepción";8104;"Florida";0,00507915008888515;0,0184422714016126;0,041765376853558
"146";8;"Biobío";81;"Concepción";8105;"Hualqui";0,028811016655768;0,091673469387755;0,313589705810127
"147";8;"Biobío";81;"Concepción";8106;"Lota";-0,00838592736563959;-0,0221174139639058;-0,0991032101900718
"148";8;"Biobío";81;"Concepción";8107;"Penco";0,00983903420523147;0,0296235511334495;0,0530191767026142
"149";8;"Biobío";81;"Concepción";8108;"San Pedro de la Paz";0,0701111126601515;0,216951517265434;0,744400886313278
"150";8;"Biobío";81;"Concepción";8109;"Santa Juana";0,0113427969843103;0,0385715282137127;0,108381718028882
"151";8;"Biobío";81;"Concepción";8110;"Talcahuano";-0,000227555735352714;-0,00157811346004533;-0,0572222189107512
"152";8;"Biobío";81;"Concepción";8111;"Tomé";0,0108346435163031;0,0349050826699326;0,0773153628995538
"153";8;"Biobío";81;"Concepción";8112;"Hualpén";0,011982166078395;0,0381683430386448;0,0952194795040768
"154";8;"Biobío";82;"Arauco";8201;"Lebu";0,00406774646845642;0,0167384384946638;0,0395099540581929
"155";8;"Biobío";82;"Arauco";8202;"Arauco";0,0102737060578544;0,0322059057413986;0,0694257545382144
"156";8;"Biobío";82;"Arauco";8203;"Cañete";0,0168649177122373;0,0502061537598519;0,13052536231884
"157";8;"Biobío";82;"Arauco";8204;"Contulmo";0,00665293838111825;0,0220328079768415;0,0447147788919942
"158";8;"Biobío";82;"Arauco";8205;"Curanilahue";0,00342931472831554;0,0134057862837011;0,0217646527589632
"159";8;"Biobío";82;"Arauco";8206;"Los Álamos";0,0258782515419684;0,0711185776284475;0,174607236067755
"160";8;"Biobío";82;"Arauco";8207;"Tirúa";0,0118451025056947;0,037075084049309;0,0918297119260643
"161";8;"Biobío";83;"Bíobío";8301;"Los Angeles";0,0325618957520939;0,0941583209451529;0,260419893984374
"162";8;"Biobío";83;"Bíobío";8302;"Antuco";0,00792356094150537;0,0265843816757654;0,066584463625154
"163";8;"Biobío";83;"Bíobío";8303;"Cabrero";0,017602408061772;0,0551277267021746;0,162691588785047
"164";8;"Biobío";83;"Bíobío";8304;"Laja";0,00411367166183929;0,0152363975893388;0,0252882431100252
"165";8;"Biobío";83;"Bíobío";8305;"Mulchén";0,0048106415264908;0,017391304347826;0,0295752282651847
"166";8;"Biobío";83;"Bíobío";8306;"Nacimiento";0,00530846484935443;0,0183852917665868;0,0348545266578053
"167";8;"Biobío";83;"Bíobío";8307;"Negrete";0,01947551099113;0,0582465972778223;0,163896532746285
"168";8;"Biobío";83;"Bíobío";8308;"Quilaco";0,00215465645199897;0,00916104146576657;0,0106228874939642
"169";8;"Biobío";83;"Bíobío";8309;"Quilleco";-0,00448609311135484;-0,0105033690051526;-0,0607599699021821
"170";8;"Biobío";83;"Bíobío";8310;"San Rosendo";-0,0182370820668692;-0,0438643702906351;-0,132356532356532
"171";8;"Biobío";83;"Bíobío";8311;"Santa Bárbara";0,00824685588619345;0,0281009110021022;0,0726767565986692
"172";8;"Biobío";83;"Bíobío";8312;"Tucapel";0,020437859646802;0,058379639157577;0,145700282192188
"173";8;"Biobío";83;"Bíobío";8313;"Yumbel";0,0062522653135193;0,020820885232339;0,0399887619404382
"174";8;"Biobío";83;"Bíobío";8314;"Alto Biobío";0,00650887573964498;0,023157894736842;0,0580003109936247
"175";9;"La Araucanía";91;"Cautín";9101;"Temuco";0,0301977925473524;0,08233090327045;0,191106393289411
"176";9;"La Araucanía";91;"Cautín";9102;"Carahue";0,0027904417544411;0,00762183081905055;-0,0287769784172662
"177";9;"La Araucanía";91;"Cautín";9103;"Cunco";0,00210759844703268;0,00310903841883192;-0,0581243809623104
"178";9;"La Araucanía";91;"Cautín";9104;"Curarrehue";0,0136474829406463;0,0436108165429481;0,103124562140956
"179";9;"La Araucanía";91;"Cautín";9105;"Freire";0,00382025127013508;0,016024874431954;0,0262108950356323
"180";9;"La Araucanía";91;"Cautín";9106;"Galvarino";-0,0049089469517023;-0,0071885614977486;-0,0346416775481988
"181";9;"La Araucanía";91;"Cautín";9107;"Gorbea";-0,00449022715266767;-0,00698195231194831;-0,0398675327983696
"182";9;"La Araucanía";91;"Cautín";9108;"Lautaro";0,0373489201505846;0,100183871815078;0,23191858584076
"183";9;"La Araucanía";91;"Cautín";9109;"Loncoche";0,00409171933236108;0,0166119770303528;0,0259116685293266
"184";9;"La Araucanía";91;"Cautín";9110;"Melipeuco";0,0128225677191858;0,0396512010529779;0,0836906191047848
"185";9;"La Araucanía";91;"Cautín";9111;"Nueva Imperial";0,0159754864044743;0,04799459907325;0,10125439360227
"186";9;"La Araucanía";91;"Cautín";9112;"Padre Las Casas";0,0526750594937178;0,142373516384997;0,349344080923028
"187";9;"La Araucanía";91;"Cautín";9113;"Perquenco";0,0100041684035015;0,0338500924477314;0,0772080616478956
"188";9;"La Araucanía";91;"Cautín";9114;"Pitrufquen";0,0270489273035963;0,0722716835193167;0,158721866701493
"189";9;"La Araucanía";91;"Cautín";9115;"Pucón";0,0421799178798059;0,12456975466862;0,366313728979446
"190";9;"La Araucanía";91;"Cautín";9116;"Saavedra";-0,0118638776147362;-0,0293644100283678;-0,112077430214616
"191";9;"La Araucanía";91;"Cautín";9117;"Teodoro Schmidt";-0,00171200304356101;0,00222802215290607;-0,00681302043906129
"192";9;"La Araucanía";91;"Cautín";9118;"Toltén";-0,0136972704714641;-0,0347741622146673;-0,12818038252325
"193";9;"La Araucanía";91;"Cautín";9119;"Vilcún";0,0822728324463688;0,192265676207123;0,38122758911622
"194";9;"La Araucanía";91;"Cautín";9120;"Villarrica";0,0358691569638405;0,100360892983443;0,254445087661264
"195";9;"La Araucanía";91;"Cautín";9121;"Cholchol";0,0335049440222277;0,0919530305646694;0,219693316616839
"196";9;"La Araucanía";92;"Malleco";9201;"Angol";0,0185792937716325;0,0539041045053068;0,11703968847107
"197";9;"La Araucanía";92;"Malleco";9202;"Collipulli";0,021618710570857;0,0599880263420476;0,131042119160172
"198";9;"La Araucanía";92;"Malleco";9203;"Curacautín";0,00408005734134642;0,0174879874846352;0,0325452174406078
"199";9;"La Araucanía";92;"Malleco";9204;"Ercilla";-0,00956542276806804;-0,0239730012801117;-0,0998175378340668
"200";9;"La Araucanía";92;"Malleco";9205;"Lonquimay";0,00862538587252581;0,0291828793774318;0,0602214163008208
"201";9;"La Araucanía";92;"Malleco";9206;"Los Sauces";-0,00638637573177225;-0,0126916975145426;-0,0620447123838231
"202";9;"La Araucanía";92;"Malleco";9207;"Lumaco";-0,0158793171893609;-0,0397985862302702;-0,13818877107596
"203";9;"La Araucanía";92;"Malleco";9208;"Purén";-0,00729986876640421;-0,0199206413474775;-0,089041095890411
"204";9;"La Araucanía";92;"Malleco";9209;"Renaico";0,0221107395020439;0,060433734939759;0,136687674346523
"205";9;"La Araucanía";92;"Malleco";9210;"Traiguén";-0,00238267895990885;-0,000622665006226653;-0,0269287121709695
"206";9;"La Araucanía";92;"Malleco";9211;"Victoria";0,00454892210324065;0,0170781245530223;0,0207573713071689
"207";10;"Los Lagos";101;"Llanquihue";10101;"Puerto Montt";0,0567660787698927;0,164372775007978;0,491553587734387
"208";10;"Los Lagos";101;"Llanquihue";10102;"Calbuco";0,0324899840842983;0,0693457625191838;0,155305821665438
