"";"cut_comuna";"comuna";"cut_region";"region";"delitos";"delitos_mcs";"delitoc_mcs_p"
"86";6108;"Machalí";6;"Libertador Gral. Bernardo O'Higgins";2642;921;2,8686210640608
"87";6109;"Malloa";6;"Libertador Gral. Bernardo O'Higgins";680;169;4,02366863905325
"88";6110;"Mostazal";6;"Libertador Gral. Bernardo O'Higgins";2051;811;2,52897657213317
"89";6111;"Olivar";6;"Libertador Gral. Bernardo O'Higgins";560;238;2,35294117647059
"90";6112;"Peumo";6;"Libertador Gral. Bernardo O'Higgins";621;219;2,83561643835616
"91";6113;"Pichidegua";6;"Libertador Gral. Bernardo O'Higgins";782;259;3,01930501930502
"92";6114;"Quinta de Tilcoco";6;"Libertador Gral. Bernardo O'Higgins";740;181;4,08839779005525
"93";6115;"Rengo";6;"Libertador Gral. Bernardo O'Higgins";3621;1379;2,62581580855693
"94";6116;"Requínoa";6;"Libertador Gral. Bernardo O'Higgins";1898;492;3,85772357723577
"95";6117;"San Vicente";6;"Libertador Gral. Bernardo O'Higgins";2388;877;2,72291904218928
"96";6201;"Pichilemu";6;"Libertador Gral. Bernardo O'Higgins";1623;661;2,4553706505295
"97";6202;"La Estrella";6;"Libertador Gral. Bernardo O'Higgins";244;73;3,34246575342466
"98";6203;"Litueche";6;"Libertador Gral. Bernardo O'Higgins";458;129;3,55038759689922
"99";6204;"Marchihue";6;"Libertador Gral. Bernardo O'Higgins";296;95;3,11578947368421
"100";6205;"Navidad";6;"Libertador Gral. Bernardo O'Higgins";527;137;3,84671532846715
"101";6206;"Paredones";6;"Libertador Gral. Bernardo O'Higgins";332;124;2,67741935483871
"102";6301;"San Fernando";6;"Libertador Gral. Bernardo O'Higgins";4579;2184;2,09661172161172
"103";6302;"Chépica";6;"Libertador Gral. Bernardo O'Higgins";664;221;3,00452488687783
"104";6303;"Chimbarongo";6;"Libertador Gral. Bernardo O'Higgins";1975;701;2,81740370898716
"105";6304;"Lolol";6;"Libertador Gral. Bernardo O'Higgins";268;88;3,04545454545455
"106";6305;"Nancagua";6;"Libertador Gral. Bernardo O'Higgins";865;443;1,95259593679458
"107";6306;"Palmilla";6;"Libertador Gral. Bernardo O'Higgins";530;182;2,91208791208791
"108";6307;"Peralillo";6;"Libertador Gral. Bernardo O'Higgins";620;198;3,13131313131313
"109";6308;"Placilla";6;"Libertador Gral. Bernardo O'Higgins";411;146;2,81506849315068
"110";6309;"Pumanque";6;"Libertador Gral. Bernardo O'Higgins";232;85;2,72941176470588
"111";6310;"Santa Cruz";6;"Libertador Gral. Bernardo O'Higgins";2350;896;2,62276785714286
"112";7101;"Talca";7;"Maule";12941;5955;2,17313182199832
"113";7102;"Constitución";7;"Maule";2557;847;3,01889020070838
"114";7103;"Curepto";7;"Maule";286;89;3,21348314606742
"115";7104;"Empedrado";7;"Maule";160;28;5,71428571428571
"116";7105;"Maule";7;"Maule";2220;942;2,35668789808917
"117";7106;"Pelarco";7;"Maule";372;112;3,32142857142857
"118";7107;"Pencahue";7;"Maule";477;109;4,37614678899083
"119";7108;"Río Claro";7;"Maule";591;173;3,41618497109827
"120";7109;"San Clemente";7;"Maule";2299;850;2,70470588235294
"121";7110;"San Rafael";7;"Maule";558;191;2,92146596858639
"122";7201;"Cauquenes";7;"Maule";1981;525;3,77333333333333
"123";7202;"Chanco";7;"Maule";263;85;3,09411764705882
"124";7203;"Pelluhue";7;"Maule";674;192;3,51041666666667
"125";7301;"Curicó";7;"Maule";10322;4966;2,07853403141361
"126";7302;"Hualañé";7;"Maule";532;150;3,54666666666667
"127";7303;"Licantén";7;"Maule";542;137;3,95620437956204
"128";7304;"Molina";7;"Maule";2832;1218;2,32512315270936
"129";7305;"Rauco";7;"Maule";406;161;2,52173913043478
"130";7306;"Romeral";7;"Maule";964;303;3,18151815181518
"131";7307;"Sagrada Familia";7;"Maule";781;253;3,08695652173913
"132";7308;"Teno";7;"Maule";1638;597;2,74371859296482
"133";7309;"Vichuquén";7;"Maule";274;73;3,75342465753425
"134";7401;"Linares";7;"Maule";5095;2112;2,4124053030303
"135";7402;"Colbún";7;"Maule";773;339;2,28023598820059
"136";7403;"Longaví";7;"Maule";1352;517;2,61508704061896
"137";7404;"Parral";7;"Maule";2304;959;2,40250260688217
"138";7405;"Retiro";7;"Maule";874;267;3,27340823970037
"139";7406;"San Javier";7;"Maule";2390;950;2,51578947368421
"140";7407;"Villa Alegre";7;"Maule";829;271;3,0590405904059
"141";7408;"Yerbas Buenas";7;"Maule";651;244;2,66803278688525
"142";8101;"Concepción";8;"Biobío";16820;7050;2,38581560283688
"143";8102;"Coronel";8;"Biobío";4796;2294;2,09067131647777
"144";8103;"Chiguayante";8;"Biobío";2557;1214;2,10626029654036
"145";8104;"Florida";8;"Biobío";556;236;2,35593220338983
"146";8105;"Hualqui";8;"Biobío";1116;428;2,60747663551402
"147";8106;"Lota";8;"Biobío";2080;818;2,54278728606357
"148";8107;"Penco";8;"Biobío";2189;908;2,41079295154185
"149";8108;"San Pedro de la Paz";8;"Biobío";5311;2622;2,0255530129672
"150";8109;"Santa Juana";8;"Biobío";758;265;2,86037735849057
"151";8110;"Talcahuano";8;"Biobío";7447;3517;2,11742962752346
"152";8111;"Tomé";8;"Biobío";2931;1133;2,58693733451015
"153";8112;"Hualpén";8;"Biobío";4042;2088;1,93582375478927
"154";8201;"Lebu";8;"Biobío";4199;421;9,97387173396675
"155";8202;"Arauco";8;"Biobío";2330;616;3,78246753246753
"156";8203;"Cañete";8;"Biobío";1748;657;2,66057838660578
"157";8204;"Contulmo";8;"Biobío";278;83;3,34939759036145
"158";8205;"Curanilahue";8;"Biobío";1293;508;2,54527559055118
"159";8206;"Los Alamos";8;"Biobío";1339;357;3,75070028011204
"160";8207;"Tirúa";8;"Biobío";509;164;3,10365853658537
"161";8301;"Los Angeles";8;"Biobío";12011;5684;2,1131245601689
"162";8302;"Antuco";8;"Biobío";181;61;2,9672131147541
"163";8303;"Cabrero";8;"Biobío";2215;589;3,76061120543294
"164";8304;"Laja";8;"Biobío";1170;472;2,47881355932203
"165";8305;"Mulchén";8;"Biobío";2120;614;3,45276872964169
"166";8306;"Nacimiento";8;"Biobío";1151;440;2,61590909090909
"167";8307;"Negrete";8;"Biobío";603;193;3,12435233160622
"168";8308;"Quilaco";8;"Biobío";189;49;3,85714285714286
"169";8309;"Quilleco";8;"Biobío";351;117;3
"170";8310;"San Rosendo";8;"Biobío";240;91;2,63736263736264
"171";8311;"Santa Bárbara";8;"Biobío";735;208;3,53365384615385
"172";8312;"Tucapel";8;"Biobío";815;269;3,02973977695167
"173";8313;"Yumbel";8;"Biobío";1541;613;2,51386623164763
"174";8314;"Alto Biobío";8;"Biobío";303;90;3,36666666666667
"175";9101;"Temuco";9;"La Araucanía";19580;7603;2,57529922399053
"176";9102;"Carahue";9;"La Araucanía";999;294;3,39795918367347
"177";9103;"Cunco";9;"La Araucanía";877;309;2,83818770226537
"178";9104;"Curarrehue";9;"La Araucanía";454;163;2,78527607361963
"179";9105;"Freire";9;"La Araucanía";1507;492;3,0630081300813
"180";9106;"Galvarino";9;"La Araucanía";631;181;3,48618784530387
"181";9107;"Gorbea";9;"La Araucanía";731;317;2,30599369085173
"182";9108;"Lautaro";9;"La Araucanía";2337;662;3,53021148036254
"183";9109;"Loncoche";9;"La Araucanía";1621;436;3,71788990825688
"184";9110;"Melipeuco";9;"La Araucanía";293;88;3,32954545454545
"185";9111;"Nueva Imperial";9;"La Araucanía";1855;740;2,50675675675676
"186";9112;"Padre Las Casas";9;"La Araucanía";2826;1199;2,35696413678065
"187";9113;"Perquenco";9;"La Araucanía";344;92;3,73913043478261
"188";9114;"Pitrufquén";9;"La Araucanía";1442;526;2,74144486692015
"189";9115;"Pucón";9;"La Araucanía";2887;942;3,06475583864119
"190";9116;"Saavedra";9;"La Araucanía";642;198;3,24242424242424
"191";9117;"Teodoro Schmidt";9;"La Araucanía";759;211;3,59715639810427
"192";9118;"Toltén";9;"La Araucanía";431;144;2,99305555555556
"193";9119;"Vilcún";9;"La Araucanía";1330;540;2,46296296296296
"194";9120;"Villarrica";9;"La Araucanía";3699;1626;2,27490774907749
"195";9121;"Cholchol";9;"La Araucanía";523;161;3,24844720496894
"196";9201;"Angol";9;"La Araucanía";2087;1009;2,06838453914767
"197";9202;"Collipulli";9;"La Araucanía";1373;408;3,36519607843137
"198";9203;"Curacautín";9;"La Araucanía";760;278;2,73381294964029
"199";9204;"Ercilla";9;"La Araucanía";441;113;3,90265486725664
"200";9205;"Lonquimay";9;"La Araucanía";491;160;3,06875
"201";9206;"Los Sauces";9;"La Araucanía";372;123;3,02439024390244
"202";9207;"Lumaco";9;"La Araucanía";436;115;3,79130434782609
"203";9208;"Purén";9;"La Araucanía";495;211;2,34597156398104
"204";9209;"Renaico";9;"La Araucanía";556;207;2,68599033816425
"205";9210;"Traiguén";9;"La Araucanía";935;337;2,77448071216617
"206";9211;"Victoria";9;"La Araucanía";1805;693;2,6046176046176
"207";10101;"Puerto Montt";10;"Los Lagos";22862;7270;3,14470426409904
"208";10102;"Calbuco";10;"Los Lagos";2236;646;3,46130030959752
"209";10103;"Cochamó";10;"Los Lagos";196;48;4,08333333333333
"210";10104;"Fresia";10;"Los Lagos";917;183;5,01092896174863
"211";10105;"Frutillar";10;"Los Lagos";1219;344;3,54360465116279
"212";10106;"Los Muermos";10;"Los Lagos";786;244;3,22131147540984
"213";10107;"Llanquihue";10;"Los Lagos";1425;322;4,42546583850932
"214";10108;"Maullín";10;"Los Lagos";836;234;3,57264957264957
"215";10109;"Puerto Varas";10;"Los Lagos";2621;929;2,82131324004306
"216";10201;"Castro";10;"Los Lagos";3281;1139;2,88059701492537
"217";10202;"Ancud";10;"Los Lagos";2009;626;3,20926517571885
"218";10203;"Chonchi";10;"Los Lagos";777;235;3,3063829787234
"219";10204;"Curaco de Vélez";10;"Los Lagos";101;34;2,97058823529412
"220";10205;"Dalcahue";10;"Los Lagos";718;235;3,05531914893617
"221";10206;"Puqueldón";10;"Los Lagos";148;27;5,48148148148148
"222";10207;"Queilén";10;"Los Lagos";279;73;3,82191780821918
"223";10208;"Quellón";10;"Los Lagos";1843;501;3,67864271457086
"224";10209;"Quemchi";10;"Los Lagos";250;79;3,16455696202532
"225";10210;"Quinchao";10;"Los Lagos";331;96;3,44791666666667
"226";10301;"Osorno";10;"Los Lagos";10509;4720;2,22648305084746
"227";10302;"Puerto Octay";10;"Los Lagos";480;129;3,72093023255814
"228";10303;"Purranque";10;"Los Lagos";1017;332;3,06325301204819
"229";10304;"Puyehue";10;"Los Lagos";637;226;2,81858407079646
"230";10305;"Río Negro";10;"Los Lagos";665;231;2,87878787878788
"231";10306;"San Juan de la Costa";10;"Los Lagos";533;180;2,96111111111111
"232";10307;"San Pablo";10;"Los Lagos";514;188;2,73404255319149
"233";10401;"Chaitén";10;"Los Lagos";221;60;3,68333333333333
"234";10402;"Futaleufú";10;"Los Lagos";146;40;3,65
"235";10403;"Hualaihué";10;"Los Lagos";579;170;3,40588235294118
"236";10404;"Palena";10;"Los Lagos";67;18;3,72222222222222
