"";"cut_comuna";"comuna";"año";"delitos_mcs";"poblacion";"tasa"
"137";7404;"Parral";2023;959;45347;21
"138";7405;"Retiro";2023;267;21397;12
"139";7406;"San Javier";2023;950;50985;18
"140";7407;"Villa Alegre";2023;271;17913;15
"141";7408;"Yerbas Buenas";2023;244;19658;12
"142";8101;"Concepción";2023;7050;239443;29
"143";8102;"Coronel";2023;2294;128253;17
"144";8103;"Chiguayante";2023;1214;91805;13
"145";8104;"Florida";2023;236;11868;19
"146";8105;"Hualqui";2023;428;26632;16
"147";8106;"Lota";2023;818;45490;17
"148";8107;"Penco";2023;908;50125;18
"149";8108;"San Pedro de la Paz";2023;2622;151833;17
"150";8109;"Santa Juana";2023;265;14870;17
"151";8110;"Talcahuano";2023;3517;158222;22
"152";8111;"Tomé";2023;1133;59069;19
"153";8112;"Hualpén";2023;2088;97902;21
"154";8201;"Lebu";2023;421;27146;15
"155";8202;"Arauco";2023;616;38890;15
"156";8203;"Cañete";2023;657;37349;17
"157";8204;"Contulmo";2023;83;6351;13
"158";8205;"Curanilahue";2023;508;33938;14
"159";8206;"Los Alamos";2023;357;22856;15
"160";8207;"Tirúa";2023;164;11088;14
"161";8301;"Los Angeles";2023;5684;222593;25
"162";8302;"Antuco";2023;61;4322;14
"163";8303;"Cabrero";2023;589;31023;18
"164";8304;"Laja";2023;472;23913;19
"165";8305;"Mulchén";2023;614;31109;19
"166";8306;"Nacimiento";2023;440;28016;15
"167";8307;"Negrete";2023;193;10539;18
"168";8308;"Quilaco";2023;49;4187;11
"169";8309;"Quilleco";2023;117;10000;11
"170";8310;"San Rosendo";2023;91;3565;25
"171";8311;"Santa Bárbara";2023;208;14657;14
"172";8312;"Tucapel";2023;269;15379;17
"173";8313;"Yumbel";2023;613;22194;27
"174";8314;"Alto Biobío";2023;90;6803;13
"175";9101;"Temuco";2023;7603;308175;24
"176";9102;"Carahue";2023;294;25514;11
"177";9103;"Cunco";2023;309;18067;17
"178";9104;"Curarrehue";2023;163;7860;20
"179";9105;"Freire";2023;492;25487;19
"180";9106;"Galvarino";2023;181;12588;14
"181";9107;"Gorbea";2023;317;15098;20
"182";9108;"Lautaro";2023;662;41624;15
"183";9109;"Loncoche";2023;436;24784;17
"184";9110;"Melipeuco";2023;88;6309;13
"185";9111;"Nueva Imperial";2023;740;34077;21
"186";9112;"Padre Las Casas";2023;1199;84619;14
"187";9113;"Perquenco";2023;92;7262;12
"188";9114;"Pitrufquén";2023;526;26499;19
"189";9115;"Pucón";2023;942;30508;30
"190";9116;"Saavedra";2023;198;12693;15
"191";9117;"Teodoro Schmidt";2023;211;15759;13
"192";9118;"Toltén";2023;144;9966;14
"193";9119;"Vilcún";2023;540;32238;16
"194";9120;"Villarrica";2023;1626;60327;26
"195";9121;"Cholchol";2023;161;12578;12
"196";9201;"Angol";2023;1009;56644;17
"197";9202;"Collipulli";2023;408;26468;15
"198";9203;"Curacautín";2023;278;18210;15
"199";9204;"Ercilla";2023;113;8405;13
"200";9205;"Lonquimay";2023;160;11101;14
"201";9206;"Los Sauces";2023;123;7484;16
"202";9207;"Lumaco";2023;115;9947;11
"203";9208;"Purén";2023;211;12118;17
"204";9209;"Renaico";2023;207;10964;18
"205";9210;"Traiguén";2023;337;19287;17
"206";9211;"Victoria";2023;693;35541;19
"207";10101;"Puerto Montt";2023;7270;278255;26
"208";10102;"Calbuco";2023;646;37429;17
"209";10103;"Cochamó";2023;48;3960;12
"210";10104;"Fresia";2023;183;12593;14
"211";10105;"Frutillar";2023;344;20678;16
"212";10106;"Los Muermos";2023;244;17831;13
"213";10107;"Llanquihue";2023;322;18811;17
"214";10108;"Maullín";2023;234;14775;15
"215";10109;"Puerto Varas";2023;929;50669;18
"216";10201;"Castro";2023;1139;48482;23
"217";10202;"Ancud";2023;626;42516;14
"218";10203;"Chonchi";2023;235;16213;14
"219";10204;"Curaco de Vélez";2023;34;4120;8
"220";10205;"Dalcahue";2023;235;15368;15
"221";10206;"Puqueldón";2023;27;4191;6
"222";10207;"Queilén";2023;73;5543;13
"223";10208;"Quellón";2023;501;29942;16
"224";10209;"Quemchi";2023;79;8760;9
"225";10210;"Quinchao";2023;96;8212;11
"226";10301;"Osorno";2023;4720;175670;26
"227";10302;"Puerto Octay";2023;129;9089;14
"228";10303;"Purranque";2023;332;20998;15
"229";10304;"Puyehue";2023;226;11813;19
"230";10305;"Río Negro";2023;231;14133;16
"231";10306;"San Juan de la Costa";2023;180;7482;24
"232";10307;"San Pablo";2023;188;10543;17
"233";10401;"Chaitén";2023;60;5061;11
"234";10402;"Futaleufú";2023;40;2889;13
"235";10403;"Hualaihué";2023;170;9579;17
"236";10404;"Palena";2023;18;1824;9
"237";11101;"Coihaique";2023;892;61885;14
"238";11102;"Lago Verde";2023;12;915;13
"239";11201;"Aisén";2023;500;25180;19
"240";11202;"Cisnes";2023;79;5865;13
"241";11203;"Guaitecas";2023;37;1608;23
"242";11301;"Cochrane";2023;60;3731;16
"243";11302;"O'Higgins";2023;12;672;17
"244";11303;"Tortel";2023;15;582;25
"245";11401;"Chile Chico";2023;67;5157;12
"246";11402;"Río Ibáñez";2023;40;2711;14
"247";12101;"Punta Arenas";2023;1512;144938;10
"248";12102;"Laguna Blanca";2023;1;252;3
"249";12103;"Río Verde";2023;1;205;4
"250";12104;"San Gregorio";2023;7;658;10
"251";12201;"Cabo de Hornos";2023;25;1973;12
"252";12301;"Porvenir";2023;80;7570;10
"253";12302;"Primavera";2023;12;679;17
"254";12303;"Timaukel";2023;1;278;3
"255";12401;"Natales";2023;317;24447;12
"256";12402;"Torres del Paine";2023;14;1069;13
"257";13101;"Santiago";2023;24160;536089;45
"258";13102;"Cerrillos";2023;2851;90060;31
"259";13103;"Cerro Navia";2023;3482;140581;24
"260";13104;"Conchalí";2023;3251;137678;23
"261";13105;"El Bosque";2023;3208;170536;18
"262";13106;"Estación Central";2023;9554;219897;43
"263";13107;"Huechuraba";2023;2366;117121;20
"264";13108;"Independencia";2023;3065;151890;20
"265";13109;"La Cisterna";2023;3606;101377;35
"266";13110;"La Florida";2023;7915;406796;19
"267";13111;"La Granja";2023;2840;120249;23
"268";13112;"La Pintana";2023;3626;189151;19
"269";13113;"La Reina";2023;1771;99686;17
"270";13114;"Las Condes";2023;4506;341183;13
"271";13115;"Lo Barnechea";2023;1135;129790;8
"272";13116;"Lo Espejo";2023;2274;101615;22
"273";13117;"Lo Prado";2023;3246;102923;31
"274";13118;"Macul";2023;3112;137735;22
"275";13119;"Maipú";2023;10934;586337;18
"276";13120;"Ñuñoa";2023;5338;263319;20
"277";13121;"Pedro Aguirre Cerda";2023;2317;105483;21
"278";13122;"Peñalolén";2023;4463;271854;16
"279";13123;"Providencia";2023;8051;162837;49
"280";13124;"Pudahuel";2023;6564;260129;25
"281";13125;"Quilicura";2023;4430;271385;16
"282";13126;"Quinta Normal";2023;4934;140964;35
"283";13127;"Recoleta";2023;6454;196073;32
"284";13128;"Renca";2023;3645;162854;22
"285";13129;"San Joaquín";2023;2573;103420;24
"286";13130;"San Miguel";2023;4341;142549;30
"287";13131;"San Ramón";2023;1976;84495;23
