"";"cut_comuna";"comuna";"cut_region";"region";"delitos_mcs"
"110";6309;"Pumanque";6;"Libertador Gral. Bernardo O'Higgins";85
"111";6310;"Santa Cruz";6;"Libertador Gral. Bernardo O'Higgins";896
"112";7101;"Talca";7;"Maule";5955
"113";7102;"Constitución";7;"Maule";847
"114";7103;"Curepto";7;"Maule";89
"115";7104;"Empedrado";7;"Maule";28
"116";7105;"Maule";7;"Maule";942
"117";7106;"Pelarco";7;"Maule";112
"118";7107;"Pencahue";7;"Maule";109
"119";7108;"Río Claro";7;"Maule";173
"120";7109;"San Clemente";7;"Maule";850
"121";7110;"San Rafael";7;"Maule";191
"122";7201;"Cauquenes";7;"Maule";525
"123";7202;"Chanco";7;"Maule";85
"124";7203;"Pelluhue";7;"Maule";192
"125";7301;"Curicó";7;"Maule";4966
"126";7302;"Hualañé";7;"Maule";150
"127";7303;"Licantén";7;"Maule";137
"128";7304;"Molina";7;"Maule";1218
"129";7305;"Rauco";7;"Maule";161
"130";7306;"Romeral";7;"Maule";303
"131";7307;"Sagrada Familia";7;"Maule";253
"132";7308;"Teno";7;"Maule";597
"133";7309;"Vichuquén";7;"Maule";73
"134";7401;"Linares";7;"Maule";2112
"135";7402;"Colbún";7;"Maule";339
"136";7403;"Longaví";7;"Maule";517
"137";7404;"Parral";7;"Maule";959
"138";7405;"Retiro";7;"Maule";267
"139";7406;"San Javier";7;"Maule";950
"140";7407;"Villa Alegre";7;"Maule";271
"141";7408;"Yerbas Buenas";7;"Maule";244
"142";8101;"Concepción";8;"Biobío";7050
"143";8102;"Coronel";8;"Biobío";2294
"144";8103;"Chiguayante";8;"Biobío";1214
"145";8104;"Florida";8;"Biobío";236
"146";8105;"Hualqui";8;"Biobío";428
"147";8106;"Lota";8;"Biobío";818
"148";8107;"Penco";8;"Biobío";908
"149";8108;"San Pedro de la Paz";8;"Biobío";2622
"150";8109;"Santa Juana";8;"Biobío";265
"151";8110;"Talcahuano";8;"Biobío";3517
"152";8111;"Tomé";8;"Biobío";1133
"153";8112;"Hualpén";8;"Biobío";2088
"154";8201;"Lebu";8;"Biobío";421
"155";8202;"Arauco";8;"Biobío";616
"156";8203;"Cañete";8;"Biobío";657
"157";8204;"Contulmo";8;"Biobío";83
"158";8205;"Curanilahue";8;"Biobío";508
"159";8206;"Los Alamos";8;"Biobío";357
"160";8207;"Tirúa";8;"Biobío";164
"161";8301;"Los Angeles";8;"Biobío";5684
"162";8302;"Antuco";8;"Biobío";61
"163";8303;"Cabrero";8;"Biobío";589
"164";8304;"Laja";8;"Biobío";472
"165";8305;"Mulchén";8;"Biobío";614
"166";8306;"Nacimiento";8;"Biobío";440
"167";8307;"Negrete";8;"Biobío";193
"168";8308;"Quilaco";8;"Biobío";49
"169";8309;"Quilleco";8;"Biobío";117
"170";8310;"San Rosendo";8;"Biobío";91
"171";8311;"Santa Bárbara";8;"Biobío";208
"172";8312;"Tucapel";8;"Biobío";269
"173";8313;"Yumbel";8;"Biobío";613
"174";8314;"Alto Biobío";8;"Biobío";90
"175";9101;"Temuco";9;"La Araucanía";7603
"176";9102;"Carahue";9;"La Araucanía";294
"177";9103;"Cunco";9;"La Araucanía";309
"178";9104;"Curarrehue";9;"La Araucanía";163
"179";9105;"Freire";9;"La Araucanía";492
"180";9106;"Galvarino";9;"La Araucanía";181
"181";9107;"Gorbea";9;"La Araucanía";317
"182";9108;"Lautaro";9;"La Araucanía";662
"183";9109;"Loncoche";9;"La Araucanía";436
"184";9110;"Melipeuco";9;"La Araucanía";88
"185";9111;"Nueva Imperial";9;"La Araucanía";740
"186";9112;"Padre Las Casas";9;"La Araucanía";1199
"187";9113;"Perquenco";9;"La Araucanía";92
"188";9114;"Pitrufquén";9;"La Araucanía";526
"189";9115;"Pucón";9;"La Araucanía";942
"190";9116;"Saavedra";9;"La Araucanía";198
"191";9117;"Teodoro Schmidt";9;"La Araucanía";211
"192";9118;"Toltén";9;"La Araucanía";144
"193";9119;"Vilcún";9;"La Araucanía";540
"194";9120;"Villarrica";9;"La Araucanía";1626
"195";9121;"Cholchol";9;"La Araucanía";161
