cut_comuna;promedio_notas;paes_complectora;paes_matematica1;paes_matematica2;paes_histciesoc;paes_ciencias;comuna;cut_region;region
1101;5,98499710312862;591,277511961722;595,053743513714;400,377280265340;491,442556084296;480,630601092896;Iquique;1;Tarapacá
1107;5,91157894736842;546,166666666667;552,107652399481;369,995055624227;442,232378854626;444,688990825688;Alto Hospicio;1;Tarapacá
1401;6,15274038461538;530,390728476821;543,202702702703;358,231707317073;450,720930232558;450,255319148936;Pozo Almonte;1;Tarapacá
1402;6,03111111111111;440,083333333333;483,083333333333;344,800000000000;419,363636363636;399,666666666667;Camiña;1;Tarapacá
1403;6,13875000000000;446,933333333333;483,066666666667;327,222222222222;389,750000000000;369,142857142857;Colchane;1;Tarapacá
1404;5,88433333333333;476,363636363636;504,454545454545;317,300000000000;439,733333333333;403,307692307692;Huara;1;Tarapacá
1405;5,90439252336449;518,176470588235;529,512195121951;368,764705882353;437,638888888889;426,709677419355;Pica;1;Tarapacá
2101;5,94805627425615;595,762907069102;600,017269076305;404,409409409409;484,384341637011;483,552161383285;Antofagasta;2;Antofagasta
2102;6,13310559006211;505,443548387097;524,067796610169;359,452380952381;424,589041095890;416,107526881720;Mejillones;2;Antofagasta
2103;6,05375000000000;443,375000000000;460,625000000000;365,875000000000;390,000000000000;399,500000000000;Sierra Gorda;2;Antofagasta
2104;6,27677419354839;530,835294117647;546,011904761905;360,647619047619;434,171428571429;432,301369863014;Taltal;2;Antofagasta
2201;5,93674893945237;596,091428571429;603,188496858386;404,432601880878;493,502606882169;488,999344262295;Calama;2;Antofagasta
2203;5,82952755905512;535,097087378641;556,733333333333;347,000000000000;441,341463414634;430,926315789474;San Pedro de Atacama;2;Antofagasta
2301;5,93914027149321;531,894886363636;531,813753581662;360,281879194631;429,900990099010;439,831417624521;Tocopilla;2;Antofagasta
2302;6,04490196078431;534,068181818182;513,595238095238;332,909090909091;428,000000000000;425,055555555556;María Elena;2;Antofagasta
3101;5,88679446219382;582,983535528596;578,621278458844;391,010784313725;482,693045563549;470,194661458333;Copiapó;3;Atacama
3102;5,75279151943463;540,267241379310;534,182608695652;352,654205607477;460,243902439024;434,718954248366;Caldera;3;Atacama
3103;5,91853333333333;473,916666666667;493,250000000000;346,657894736842;419,161290322581;415,297297297297;Tierra Amarilla;3;Atacama
3201;5,80462962962963;538,165413533835;527,214814814815;369,380952380952;427,934065934066;432,867346938775;Chañaral;3;Atacama
3202;6,14910852713178;564,861244019139;567,560386473430;373,537735849057;443,683673469388;457,746835443038;Diego de Almagro;3;Atacama
3301;5,98374020156775;563,301204819277;570,117250673854;377,341145833333;472,853488372093;459,211428571429;Vallenar;3;Atacama
3302;5,81150000000000;496,903225806452;505,933333333333;345,133333333333;399,818181818182;412,480000000000;Alto del Carmen;3;Atacama
3303;5,96333333333333;525,425000000000;528,075000000000;349,600000000000;401,090909090909;437,240000000000;Freirina;3;Atacama
3304;5,88616161616162;518,637500000000;514,105263157895;339,620689655172;450,166666666667;411,351851851852;Huasco;3;Atacama
4101;5,96410587818697;605,272285966461;612,444345304484;413,738381201044;500,281591604722;495,680864197531;La Serena;4;Coquimbo
4102;5,88467994310100;586,496345029240;583,129650092081;385,189018901890;485,515256588072;476,779179810726;Coquimbo;4;Coquimbo
4103;5,80716763005780;536,260273972603;548,756944444444;368,419354838710;454,459459459459;446,211009174312;Andacollo;4;Coquimbo
4104;5,91266666666667;580,800000000000;570,400000000000;354,000000000000;433,833333333333;461,500000000000;La Higuera;4;Coquimbo
4105;5,82179487179487;588,766666666667;543,275862068965;384,000000000000;479,315789473684;462,684210526316;Paiguano;4;Coquimbo
4106;5,99268623024831;548,646723646724;553,073446327684;369,046052631579;450,206572769953;445,095785440613;Vicuña;4;Coquimbo
4201;6,02283154121864;561,885714285714;548,308888888889;372,252631578947;462,589285714286;453,291666666667;Illapel;4;Coquimbo
4202;5,96365217391304;523,642105263158;538,408602150538;389,048780487805;425,500000000000;442,210526315789;Canela;4;Coquimbo
4203;5,81147335423197;549,368627450980;554,245059288538;376,942857142857;439,462500000000;450,356756756757;Los Vilos;4;Coquimbo
4204;5,94940639269406;559,221910112360;551,353276353276;362,361904761905;449,727272727273;451,274074074074;Salamanca;4;Coquimbo
4301;5,93168539325843;578,014876033058;581,610094287299;391,255621301775;474,153554502370;472,794871794872;Ovalle;4;Coquimbo
4302;6,04436781609195;530,180645161290;536,090322580645;380,444444444444;445,009523809524;445,902654867257;Combarbalá;4;Coquimbo
4303;5,76211111111111;541,645161290323;536,376190476190;347,593220338983;435,563909774436;434,123529411765;Monte Patria;4;Coquimbo
4304;5,67560747663551;547,849315068493;571,774647887324;402,828571428571;408,044444444444;456,561403508772;Punitaqui;4;Coquimbo
